"id","date","country","os","experiment_mobile_checkout_theme","transaction_try","transaction_success"
10494399,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494350,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494329,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494315,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494307,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494298,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494267,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494250,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494219,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494209,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494160,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494111,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494110,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494105,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494104,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494091,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494062,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494056,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494054,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494038,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494037,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494032,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493992,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493986,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493961,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493926,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493900,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493830,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493800,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493780,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493765,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10493721,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493715,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493710,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10493696,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493660,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493657,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10493649,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10493646,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
